device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip,ua_browser,ua_browser_version,ua_os,ua_os_version,ua_is_mobile,ua_is_pc,country,city,region,timezone,org,is_compromised_device_id,is_compromised_identity,fraud_label,shares_compromised_ip,shares_compromised_fingerprint,predicted_fraud_label,predicted_fraud_probability
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,"['213.87.147.83', '213.87.149.20', '213.87.132.170']",213.87.149.20,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,"['213.87.147.83', '213.87.149.20', '213.87.132.170']",213.87.132.170,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.147.25'],213.87.147.25,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,unknown,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.150.241'],213.87.150.241,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,0,0,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,"['213.87.131.205', '213.87.133.204']",213.87.133.204,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.156.12'],213.87.156.12,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.138.119'],213.87.138.119,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,"['213.87.134.128', '213.87.149.20', '213.87.131.236']",213.87.131.236,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
cdaa8673-164d-44a7-80a0-99cd4cfe3818,0007f265568f1abc1da791e852877df2047b3af9,Bank11,69DBFA5B34C4E9919A68738F94D85DD59F35E968,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.150.241'],213.87.150.241,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
8db05325-e9d0-4c94-a4a2-efb313f9ab11,0007f265568f1abc1da791e852877df2047b3af9,Bank11,No data,unknown,"(720, 360, 24)",Android 8.1.0,Chrome Mobile WebView 79.0.3945,['213.87.137.148'],213.87.137.148,Chrome Mobile WebView,79.0.3945,Android,8.1.0,True,False,Russia,Moscow,Moscow,Europe/Moscow,AS8359 MTS PJSC,0,1,1,1,1,1,0.9942249934708925
